text,category
Are you a swipe? Because I’m hooked on you,dating_app
Are you my dating app crush? Because I can’t stop thinking about you,dating_app
Are you my favorite match? Because you’re always on my mind,dating_app
Are you my profile bio? Because you’ve summed up my dreams,dating_app
Are you a boost? Because you make me stand out,dating_app
Are you a mutual like? Because you’re all I care about,dating_app
Are you my Hinge prompt? Because you’re the answer I’ve been waiting for,dating_app
Are you a Tinder flame? Because you’ve ignited something special,dating_app
Are you a Bumble match? Because you’ve got me buzzing,dating_app
Are you my dating app match? Because I feel lucky to know you,dating_app
Are you my swipe of fate? Because you’ve changed everything,dating_app
"Are you my ""about me"" section? Because you’re everything I’d say if I could",dating_app
Are you a notification? Because you always make my day better,dating_app
Are you my profile photo? Because you’re picture-perfect,dating_app
Are you my dating app connection? Because you’re my favorite notification,dating_app
Are you a super match? Because you’re out of my league,dating_app
Are you my chat bubble? Because I can’t stop clicking on you,dating_app
Are you my dream match? Because you’ve exceeded all my expectations,dating_app
"Are you a ""get to know you"" question? Because I’d swipe yes on you every time",dating_app
Are you a dating app success story? Because I can see us being one,dating_app
Are you my perfect match? Because you’ve checked all my boxes,dating_app
Are you a match made in heaven? Because you’re divine,dating_app
Are you a profile swipe? Because you’re the highlight of my day,dating_app
Are you my newest match? Because you’ve got me feeling brand new,dating_app
Are you a pick-up line? Because you’ve caught my attention,dating_app
Are you a Hinge? Because I want to open up to you,dating_app
Are you a Like? Because you’re exactly my type,dating_app
Are you my app crush? Because I can’t stop thinking about you,dating_app
"Are you my ""what are you looking for?"" question? Because the answer is you",dating_app
Are you a swipe? Because you’re the best decision I’ve ever made,dating_app
Are you a dating app? Because you’ve brought joy into my life,dating_app
Are you my chat history? Because I want to keep you forever,dating_app
Are you a Bumble connection? Because you’ve got me making the first move,dating_app
Are you a trending match? Because you’re the talk of my heart,dating_app
Are you my dating app success story? Because you’re the happy ending I’ve been looking for,dating_app
Are you my match bio? Because you’ve said everything I wanted to hear,dating_app
Are you a first date? Because you’ve got me feeling butterflies already,dating_app
Are you my last swipe? Because I don’t need to look any further,dating_app
Are you the DJ? Because you’ve got me spinning all night,party
Are you a disco ball? Because you light up my world,party
Are you the bass? Because you make my heart thump,party
Are you the dance floor? Because I can’t stay away from you,party
Are you a glow stick? Because you brighten up the darkest room,party
Are you a confetti cannon? Because you’re a blast to be around,party
Are you the party host? Because you’re the center of attention,party
Are you a shot of tequila? Because you’ve got me feeling bold,party
Are you a karaoke mic? Because you amplify my feelings,party
Are you a sparkler? Because you light up my night,party
Are you the punch bowl? Because you’re full of surprises,party
Are you the strobe light? Because you’ve got me dazzled,party
Are you a balloon? Because you lift me up,party
Are you the music playlist? Because you’ve got all the right vibes,party
Are you the afterparty? Because you’re all I want to talk about,party
Are you a cocktail? Because you’re the perfect mix,party
Are you a champagne bottle? Because you’re worth celebrating,party
Are you a dance move? Because you’ve got me feeling groovy,party
Are you the party snacks? Because you’re irresistible,party
Are you a piñata? Because I want to hit it off with you,party
Are you the spotlight? Because you’re shining on me,party
Are you the party playlist? Because you keep the energy going,party
Are you a sparkler? Because you make everything magical,party
Are you the first dance? Because you’re unforgettable,party
Are you a drink? Because you’ve got me intoxicated,party
Are you the bar? Because you’re where I want to be,party
Are you the party bus? Because I’m on board with you,party
Are you the party favors? Because you’re the best takeaway,party
Are you the fog machine? Because you’ve got me in a haze,party
Are you the host? Because I’d RSVP to your heart anytime,party
Are you the cake? Because you’re the sweetest part of this party,party
Are you a limbo stick? Because I’d bend over backward for you,party
Are you the balloons? Because you’re full of fun,party
Are you the party lights? Because you’ve got me glowing,party
Are you the guest of honor? Because you’re stealing the show,party
Are you a karaoke song? Because I can’t get you out of my head,party
Are you the bar tab? Because I’d spend it all on you,party
Are you the dance circle? Because I want to be in your groove,party
Are you a costume? Because you’re perfect for this theme,party
Are you a confetti popper? Because you make everything exciting,party
Are you the punchline? Because you’re the life of the party,party
Are you the party playlist? Because you’ve got me hooked on every beat,party
Are you a shot glass? Because you make my heart race,party
Are you the bartender? Because you mix it up perfectly,party
Are you a dance move? Because you make me want to keep going,party
Are you the party vibe? Because you’ve got everyone feeling good,party
Are you the celebration? Because everything is better with you,party
Are you the sound system? Because you amplify my feelings,party
Are you the sparklers? Because you add a little magic to the night,party
Are you the countdown? Because I’ve been waiting all night for you,party
Are you my favorite coworker? Because you’re the highlight of my day,workplace
Are you a deadline? Because you keep me on my toes,workplace
Are you a high-priority email? Because I can’t ignore you,workplace
Are you the coffee machine? Because you keep me going all day,workplace
Are you a meeting? Because I don’t want to miss a moment with you,workplace
Are you a stapler? Because you’ve got me stuck on you,workplace
Are you a break room snack? Because you’re irresistible,workplace
Are you an Excel sheet? Because you’ve got me in all the right columns,workplace
Are you a paperclip? Because you hold everything together,workplace
Are you a presentation? Because you’ve captured all my attention,workplace
Are you a company bonus? Because you’re more than I could hope for,workplace
Are you a sticky note? Because you’ve stuck in my mind,workplace
Are you the office Wi-Fi? Because I feel so connected to you,workplace
Are you a team project? Because I’d love to work on us,workplace
Are you a supply closet? Because you’ve got everything I need,workplace
Are you a morning meeting? Because you’re the best way to start the day,workplace
Are you a swivel chair? Because you make my world spin,workplace
Are you a brainstorm session? Because you light up my ideas,workplace
Are you my boss? Because you’ve got me working overtime for your attention,workplace
Are you a printer? Because you make everything better in black and white,workplace
Are you an IT ticket? Because you’ve solved all my problems,workplace
Are you the office coffee? Because I need you to survive,workplace
Are you my promotion? Because you’re everything I’ve been working for,workplace
Are you a team player? Because you complete my workday,workplace
Are you a water cooler chat? Because you make everything more refreshing,workplace
Are you a quarterly review? Because you always exceed expectations,workplace
Are you an agenda? Because you’re my main priority,workplace
Are you an office chair? Because I can’t get comfortable without you,workplace
Are you my cubicle neighbor? Because you’re always on my mind,workplace
Are you a company retreat? Because I always feel better after spending time with you,workplace
Are you a work lunch? Because you’re the best part of my day,workplace
Are you a spreadsheet? Because you’ve got me organized and in line,workplace
Are you a KPI? Because you’re the key to my success,workplace
Are you a desk plant? Because you brighten up my workspace,workplace
Are you the office AC? Because you make everything cool,workplace
Are you the HR handbook? Because you’re full of all the right rules,workplace
Are you a quarterly bonus? Because you’re worth the wait,workplace
Are you a filing cabinet? Because you’ve got everything I need in one place,workplace
Are you my end-of-day email? Because I look forward to you,workplace
Are you a company holiday party? Because you make everything more fun,workplace
Are you the office lighting? Because you brighten up my day,workplace
Are you a job listing? Because you’ve got my dream requirements,workplace
Are you my paycheck? Because I can’t wait to see you,workplace
Are you a conference call? Because you bring everyone together,workplace
Are you a lunch break? Because you’re the best time of the day,workplace
Are you the office elevator? Because you take me to new heights,workplace
Are you a client meeting? Because I’m ready to impress you,workplace
Are you the office decor? Because you make everything look better,workplace
Are you the company vision? Because you’ve got my future in mind,workplace
Are you the office manager? Because you run my world,workplace
